"Widows*","GV Plaza","GV Plaza","09/12/2018","11:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6411/showDate/09-12-2018/showTime/1100/hallNumber/10"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","11/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/11-12-2018/showTime/1350/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Paya Lebar","GV Paya Lebar","09/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6396/showDate/09-12-2018/showTime/1530/hallNumber/8"
"The Grinch","GV Katong","GV Katong","12/12/2018","10:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/12-12-2018/showTime/1025/hallNumber/4"
"(Eng Sub)  Mortal Engines*","GV VivoCity","GV VivoCity","10/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6464/showDate/10-12-2018/showTime/1350/hallNumber/10"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","09/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/09-12-2018/showTime/1055/hallNumber/6"
"Mortal Engines*","GV Tampines","GV Tampines","09/12/2018","2:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/09-12-2018/showTime/1405/hallNumber/1"
"Aquaman (Digital)","321 Clementi","WE-Clementi","18/12/2018","9:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77974&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Suntec City","GV Suntec City","10/12/2018","11:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6396/showDate/10-12-2018/showTime/1105/hallNumber/8"
"(3d) Mortal Engines*","GV VivoCity","GV VivoCity","09/12/2018","8:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6465/showDate/09-12-2018/showTime/2000/hallNumber/10"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","09/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/09-12-2018/showTime/920/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6414/showDate/10-12-2018/showTime/1605/hallNumber/5"
"(Tamil) (3d) 2.0*","GV Yishun","GV Yishun","12/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4835/showDate/12-12-2018/showTime/2150/hallNumber/10"
"(Tamil) (3d) 2.0*","GV Tampines","GV Tampines","10/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/4835/showDate/10-12-2018/showTime/1550/hallNumber/8"
"Mortal Engines*","GV Yishun","GV Yishun","10/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6413/showDate/10-12-2018/showTime/1910/hallNumber/9"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bedok","GV Bedok","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6396/showDate/11-12-2018/showTime/1840/hallNumber/3"
"Mortal Engines*","GV Tampines","GV Tampines","12/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/12-12-2018/showTime/1655/hallNumber/1"
"(Eng Sub)  Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","7:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6464/showDate/11-12-2018/showTime/1915/hallNumber/1"
"The Grinch","GV Yishun","GV Yishun","12/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6398/showDate/12-12-2018/showTime/1055/hallNumber/5"
"The Wrath*","GV VivoCity","GV VivoCity","09/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3562/showDate/09-12-2018/showTime/1325/hallNumber/12"
"Aquaman*","GV Katong","GV Katong","14/12/2018","11:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/14-12-2018/showTime/2330/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","12/12/2018","11:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/12-12-2018/showTime/1100/hallNumber/8"
"(Tamil) 2.0*","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/4834/showDate/12-12-2018/showTime/2135/hallNumber/2"
"Aquaman: Dining Set*","Gold Class VivoCity","Gold Class VivoCity","15/12/2018","6:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6458/showDate/15-12-2018/showTime/1800/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bedok","GV Bedok","09/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6396/showDate/09-12-2018/showTime/1320/hallNumber/3"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","10/12/2018","8:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/10-12-2018/showTime/2030/hallNumber/6"
"Mortal Engines*","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6413/showDate/12-12-2018/showTime/1030/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bedok","GV Bedok","11/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6396/showDate/11-12-2018/showTime/2115/hallNumber/3"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","14/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/14-12-2018/showTime/1530/hallNumber/2*"
"(Tamil) (3d) 2.0*","GV Yishun","GV Yishun","10/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4835/showDate/10-12-2018/showTime/2150/hallNumber/10"
"Aquaman*","GV Plaza","GV Plaza","15/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6412/showDate/15-12-2018/showTime/1650/hallNumber/5"
"Aquaman*","GV City Square","GV City Square","15/12/2018","9:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6412/showDate/15-12-2018/showTime/945/hallNumber/2"
"Robin Hood","GV Jurong Point","GV Jurong Point","10/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6410/showDate/10-12-2018/showTime/1850/hallNumber/3"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","10/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/10-12-2018/showTime/1330/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","11/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/11-12-2018/showTime/920/hallNumber/4"
"Aquaman*","GVmax, VivoCity","GVmax, VivoCity","14/12/2018","1:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6412/showDate/14-12-2018/showTime/130/hallNumber/1"
"Aquaman (Digital)","321 Clementi","WE-Clementi","19/12/2018","6:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77977&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Creed II","GV Jurong Point","GV Jurong Point","12/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6409/showDate/12-12-2018/showTime/1030/hallNumber/3"
"(D-Box) Mortal Engines*","D-BOX, Bishan ","D-BOX, Bishan ","09/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6467/showDate/09-12-2018/showTime/1600/hallNumber/1*"
"Spider-Man: Into The Spider-Verse*","GV City Square","GV City Square","12/12/2018","7:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6414/showDate/12-12-2018/showTime/1905/hallNumber/3"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","12/12/2018","10:45 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78150&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Grand, Great World City","GV Grand, Great World City","09/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6414/showDate/09-12-2018/showTime/1310/hallNumber/4"
"The Grinch (Digital)","321 Clementi","WE-Clementi","9/12/2018","2:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78101&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Bohemian Rhapsody","GV Katong","GV Katong","12/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6391/showDate/12-12-2018/showTime/1320/hallNumber/1"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/12-12-2018/showTime/1900/hallNumber/5"
"Aquaman (Digital)","321 Clementi","WE-Clementi","17/12/2018","9:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77970&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Mortal Engines*","GV Bishan","GV Bishan","10/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6467/showDate/10-12-2018/showTime/1850/hallNumber/1*"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","12/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/12-12-2018/showTime/1600/hallNumber/5"
"Widows (Digital)","321 Clementi","WE-Clementi","9/12/2018","9:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78171&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Tamil) 2.0*","GV Yishun","GV Yishun","12/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4834/showDate/12-12-2018/showTime/2120/hallNumber/4"
"(Atmos) Aquaman*","GV VivoCity","GV VivoCity","13/12/2018","10:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6472/showDate/13-12-2018/showTime/2230/hallNumber/1"
"Widows*","GV Yishun","GV Yishun","11/12/2018","4:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6411/showDate/11-12-2018/showTime/1635/hallNumber/3"
"The Devil Fish","GV VivoCity","GV VivoCity","12/12/2018","10:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3555/showDate/12-12-2018/showTime/2220/hallNumber/10"
"Widows*","GV VivoCity","GV VivoCity","10/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/10-12-2018/showTime/1625/hallNumber/9"
"(Tamil) (3d) 2.0*","GV Suntec City","GV Suntec City","11/12/2018","3:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/4835/showDate/11-12-2018/showTime/1520/hallNumber/2"
"Aquaman*","GV VivoCity","GV VivoCity","14/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6412/showDate/14-12-2018/showTime/1955/hallNumber/4"
"(Eng Sub) The Grinch","GV Plaza","GV Plaza","09/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6451/showDate/09-12-2018/showTime/1220/hallNumber/2"
"Fantastic Beasts: The Crimes Of Grindelwald","GV VivoCity","GV VivoCity","10/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6395/showDate/10-12-2018/showTime/2155/hallNumber/7"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","12/12/2018","11:30 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78372&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","GV Tampines","GV Tampines","13/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/13-12-2018/showTime/1610/hallNumber/2"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","11/12/2018","6:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78180&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Creed II","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6409/showDate/12-12-2018/showTime/2135/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","12/12/2018","2:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/12-12-2018/showTime/1440/hallNumber/6"
"Bohemian Rhapsody","GV Suntec City","GV Suntec City","10/12/2018","1:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6391/showDate/10-12-2018/showTime/1340/hallNumber/3"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","09/12/2018","11:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/09-12-2018/showTime/1125/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","09/12/2018","10:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/09-12-2018/showTime/2240/hallNumber/4"
"Mortal Engines*","Duo Deluxe, Paya Lebar","Duo Deluxe, Paya Lebar","12/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/131/filmCode/6413/showDate/12-12-2018/showTime/1655/hallNumber/1"
"Mortal Engines (First Class)","321 Clementi (First Class)","WE-Clementi","9/12/2018","8:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78026&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Kedarnath*","GV VivoCity","GV VivoCity","09/12/2018","6:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4838/showDate/09-12-2018/showTime/1820/hallNumber/12"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","09/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/09-12-2018/showTime/1350/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6414/showDate/12-12-2018/showTime/1320/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/10-12-2018/showTime/1840/hallNumber/4"
"The Wrath*","GV Paya Lebar","GV Paya Lebar","10/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/3562/showDate/10-12-2018/showTime/1850/hallNumber/6"
"Aquaman*","GV Bedok","GV Bedok","15/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/15-12-2018/showTime/1540/hallNumber/1"
"Robin Hood","GV Suntec City","GV Suntec City","10/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6410/showDate/10-12-2018/showTime/1910/hallNumber/3"
"Aquaman*","GV Katong","GV Katong","15/12/2018","8:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/15-12-2018/showTime/2005/hallNumber/6"
"Mortal Engines*","Gold Class VivoCity","Gold Class VivoCity","10/12/2018","9:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6413/showDate/10-12-2018/showTime/2105/hallNumber/1"
"Widows*","GV Suntec City","GV Suntec City","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6411/showDate/12-12-2018/showTime/2140/hallNumber/4"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","11/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/11-12-2018/showTime/1115/hallNumber/5"
"Aquaman (Digital)","321 Clementi","WE-Clementi","18/12/2018","6:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77973&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","12/12/2018","5:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/12-12-2018/showTime/1725/hallNumber/3"
"The Grinch","GV Katong","GV Katong","11/12/2018","7:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/11-12-2018/showTime/1930/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bedok","GV Bedok","12/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6396/showDate/12-12-2018/showTime/1320/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bishan","GV Bishan","11/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6395/showDate/11-12-2018/showTime/1430/hallNumber/6"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","10/12/2018","5:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/10-12-2018/showTime/1730/hallNumber/6"
"Aquaman*","GV Bedok","GV Bedok","15/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/15-12-2018/showTime/1845/hallNumber/1"
"Aquaman*","Gold Class Katong","Gold Class Katong","15/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6412/showDate/15-12-2018/showTime/1600/hallNumber/2"
"Mortal Engines*","GV Bedok","GV Bedok","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6413/showDate/12-12-2018/showTime/1850/hallNumber/1"
"(Tamil) (3d) 2.0*","GV Tampines","GV Tampines","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/4835/showDate/12-12-2018/showTime/1900/hallNumber/8"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","12/12/2018","2:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/12-12-2018/showTime/1400/hallNumber/6"
"Creed II","GV Bedok","GV Bedok","09/12/2018","9:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6409/showDate/09-12-2018/showTime/2105/hallNumber/4"
"A Star Is Born","GV Katong","GV Katong","12/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6360/showDate/12-12-2018/showTime/2200/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6414/showDate/12-12-2018/showTime/1845/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","11/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/11-12-2018/showTime/1910/hallNumber/6"
"(Atmos) Aquaman*","GVmax, VivoCity","GVmax, VivoCity","14/12/2018","12:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6472/showDate/14-12-2018/showTime/1200/hallNumber/1"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Suntec City","GV Suntec City","09/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6395/showDate/09-12-2018/showTime/2145/hallNumber/3"
"Robin Hood*","Gold Class VivoCity","Gold Class VivoCity","11/12/2018","6:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6410/showDate/11-12-2018/showTime/1855/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Suntec City","GV Suntec City","09/12/2018","1:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6395/showDate/09-12-2018/showTime/1340/hallNumber/3"
"(Eng Sub) Spider-Man:Into The Spider-Verse*","GV Plaza","GV Plaza","12/12/2018","8:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6468/showDate/12-12-2018/showTime/2000/hallNumber/3"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","10/12/2018","3:55 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78332&args7=78F9C95434406353FDCE1E99790FFDA322645"
"The Grinch","GV Bedok","GV Bedok","09/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6398/showDate/09-12-2018/showTime/1130/hallNumber/4"
"Mortal Engines*","GV Plaza","GV Plaza","09/12/2018","9:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/09-12-2018/showTime/940/hallNumber/8"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","09/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/09-12-2018/showTime/1605/hallNumber/6"
